,track_name,artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
1324,soul rebel,rumer,0ZGpcBtu95sxNYGp6AiYPB,0.68,0.217,7,-13.193,1,0.0528,0.824,0.000194,0.0782,0.395,73.998,audio_features,spotify:track:0ZGpcBtu95sxNYGp6AiYPB,https://api.spotify.com/v1/tracks/0ZGpcBtu95sxNYGp6AiYPB,https://api.spotify.com/v1/audio-analysis/0ZGpcBtu95sxNYGp6AiYPB,213320,4
1325,sin compromiso,j balvin,3yoO9jbPHRxAsoUuyx4gG3,0.775,0.914,7,-4.738,1,0.159,0.193,0.0,0.427,0.817,98.031,audio_features,spotify:track:3yoO9jbPHRxAsoUuyx4gG3,https://api.spotify.com/v1/tracks/3yoO9jbPHRxAsoUuyx4gG3,https://api.spotify.com/v1/audio-analysis/3yoO9jbPHRxAsoUuyx4gG3,189027,4
1326,drop the bomb - original mix,dj fixx,6rV8hLHi0LbeCXv3mybQMv,0.737,0.888,1,-6.457,1,0.0585,0.00267,0.303,0.152,0.299,130.004,audio_features,spotify:track:6rV8hLHi0LbeCXv3mybQMv,https://api.spotify.com/v1/tracks/6rV8hLHi0LbeCXv3mybQMv,https://api.spotify.com/v1/audio-analysis/6rV8hLHi0LbeCXv3mybQMv,240000,4
1327,夕陽之歌,anita mui,5tVzG4tw3M9VLkcQ0fOtgF,0.599,0.48,1,-8.168,1,0.0277,0.614,0.0,0.111,0.265,129.148,audio_features,spotify:track:5tVzG4tw3M9VLkcQ0fOtgF,https://api.spotify.com/v1/tracks/5tVzG4tw3M9VLkcQ0fOtgF,https://api.spotify.com/v1/audio-analysis/5tVzG4tw3M9VLkcQ0fOtgF,310737,4
1328,мой костёр,vadim kozin,60m0nPq3pDKU3ZoVEQyLkR,0.484,0.152,5,-11.775,0,0.0528,0.994,1.25e-05,0.268,0.342,80.104,audio_features,spotify:track:60m0nPq3pDKU3ZoVEQyLkR,https://api.spotify.com/v1/tracks/60m0nPq3pDKU3ZoVEQyLkR,https://api.spotify.com/v1/audio-analysis/60m0nPq3pDKU3ZoVEQyLkR,168250,4
1329,light that fire,oh the larceny,4BtRMXy8X1vNyq4Bz0MHSk,0.736,0.79,0,-3.087,0,0.051,0.00827,0.00497,0.176,0.821,115.995,audio_features,spotify:track:4BtRMXy8X1vNyq4Bz0MHSk,https://api.spotify.com/v1/tracks/4BtRMXy8X1vNyq4Bz0MHSk,https://api.spotify.com/v1/audio-analysis/4BtRMXy8X1vNyq4Bz0MHSk,139138,4
1330,see you other side,confess,0o28lIvk1p4gXuAPSBDr8w,0.369,0.99,8,-2.189,1,0.093,0.000151,0.000161,0.309,0.443,144.761,audio_features,spotify:track:0o28lIvk1p4gXuAPSBDr8w,https://api.spotify.com/v1/tracks/0o28lIvk1p4gXuAPSBDr8w,https://api.spotify.com/v1/audio-analysis/0o28lIvk1p4gXuAPSBDr8w,280032,4
1331,nostalgia,antonio jesús asiáin sanz,6Abi78FVCj3DvgthSxxU3A,0.437,0.0563,1,-24.421,1,0.0313,0.863,0.966,0.0895,0.0786,99.876,audio_features,spotify:track:6Abi78FVCj3DvgthSxxU3A,https://api.spotify.com/v1/tracks/6Abi78FVCj3DvgthSxxU3A,https://api.spotify.com/v1/audio-analysis/6Abi78FVCj3DvgthSxxU3A,67449,4
1332,afiche,adriana varela,4DPpKuQnkqt30F7jMYI7tN,0.604,0.277,4,-12.755,0,0.0458,0.852,1.24e-06,0.0781,0.552,102.484,audio_features,spotify:track:4DPpKuQnkqt30F7jMYI7tN,https://api.spotify.com/v1/tracks/4DPpKuQnkqt30F7jMYI7tN,https://api.spotify.com/v1/audio-analysis/4DPpKuQnkqt30F7jMYI7tN,197300,3
1333,wine pon me,vybz kartel,7xX6Czax0M4SELvdLDH7pf,0.474,0.801,10,-5.418,0,0.185,0.0498,0.000122,0.108,0.295,133.885,audio_features,spotify:track:7xX6Czax0M4SELvdLDH7pf,https://api.spotify.com/v1/tracks/7xX6Czax0M4SELvdLDH7pf,https://api.spotify.com/v1/audio-analysis/7xX6Czax0M4SELvdLDH7pf,232139,4
